arena_api  | {"time":"2026-06-25T17:22:59.536161699Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effce-6f50-70e3-9e6d-05616795dc4e","trace_id":"26d6c45a88caedbe2ec1ab5f2366252d","method":"GET","route":"/healthz","status":200,"latency_ms":0.043,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:23:29.582085134Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effce-e4ae-7085-861a-40c8cdf00527","trace_id":"144b2cd777b68913f7caaed499bb0933","method":"GET","path":"/healthz","remote_addr":"[::1]:46126"}
arena_api  | {"time":"2026-06-25T17:23:29.582123147Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effce-e4ae-7085-861a-40c8cdf00527","trace_id":"144b2cd777b68913f7caaed499bb0933","method":"GET","route":"/healthz","status":200,"latency_ms":0.041,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:23:59.606484123Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effcf-59f6-769d-b022-8d5c8522b541","trace_id":"9d8b4096fda5acee36d6845f3c9a1313","method":"GET","path":"/healthz","remote_addr":"[::1]:33646"}
arena_api  | {"time":"2026-06-25T17:23:59.606521277Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effcf-59f6-769d-b022-8d5c8522b541","trace_id":"9d8b4096fda5acee36d6845f3c9a1313","method":"GET","route":"/healthz","status":200,"latency_ms":0.04,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:24:29.657313427Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effcf-cf59-7438-9fe0-5053cd2c2e76","trace_id":"93846be87fc2658d1f09e387ed67f082","method":"GET","path":"/healthz","remote_addr":"[::1]:57712"}
arena_api  | {"time":"2026-06-25T17:24:29.657346627Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effcf-cf59-7438-9fe0-5053cd2c2e76","trace_id":"93846be87fc2658d1f09e387ed67f082","method":"GET","route":"/healthz","status":200,"latency_ms":0.035,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:24:59.732840531Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd0-44d4-7c15-8cc2-389a2931cd0e","trace_id":"ba8661421982fbc2a362335b2f9af836","method":"GET","path":"/healthz","remote_addr":"[::1]:38062"}
arena_api  | {"time":"2026-06-25T17:24:59.732876083Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd0-44d4-7c15-8cc2-389a2931cd0e","trace_id":"ba8661421982fbc2a362335b2f9af836","method":"GET","route":"/healthz","status":200,"latency_ms":0.038,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:25:29.764893267Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd0-ba24-7cf9-bd95-669e521e8aff","trace_id":"6efdb1b3a60841106296bfd7bbfe6c38","method":"GET","path":"/healthz","remote_addr":"[::1]:55316"}
arena_api  | {"time":"2026-06-25T17:25:29.764924765Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd0-ba24-7cf9-bd95-669e521e8aff","trace_id":"6efdb1b3a60841106296bfd7bbfe6c38","method":"GET","route":"/healthz","status":200,"latency_ms":0.034,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:25:59.822650194Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd1-2f8e-78f1-9496-ede6c5da3ff1","trace_id":"e5bd5449a19215fc27536b70e9a11a8e","method":"GET","path":"/healthz","remote_addr":"[::1]:59134"}
